
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
17,2022-01-11,,DePaul,W,87,76,34,61,.557,11,24,.458,8,9,.889,5,26,27,10,6,8,14,,31,71,.437,8,23,.348,6,11,.545,19,40,16,5,3,15,9
18,2022-01-15,,Seton Hall,W,73,72,25,59,.424,11,22,.500,12,16,.750,7,26,19,11,5,9,16,,25,60,.417,6,21,.286,16,23,.696,17,45,6,5,8,19,17
19,2022-01-19,@,Villanova,W,57,54,21,51,.412,13,29,.448,2,2,1.000,1,27,14,7,3,11,14,,22,58,.379,6,24,.250,4,5,.800,6,32,11,5,1,10,7
20,2022-01-23,,Xavier,W,75,64,29,62,.468,10,26,.385,7,8,.875,2,32,21,8,3,10,13,,24,62,.387,6,23,.261,10,15,.667,7,36,15,4,5,10,12
21,2022-01-26,@,Seton Hall,W,73,63,27,58,.466,10,22,.455,9,13,.692,8,34,16,10,8,14,16,,20,59,.339,7,20,.350,16,21,.762,14,36,6,13,5,14,12
22,2022-01-30,@,Providence,L,63,65,23,55,.418,5,19,.263,12,15,.800,4,24,8,11,4,9,18,,23,60,.383,8,26,.308,11,16,.688,13,35,14,5,3,12,15
23,2022-02-02,,Villanova,W,83,73,28,52,.538,10,24,.417,17,18,.944,6,33,13,8,4,16,20,,23,60,.383,10,34,.294,17,20,.850,8,23,15,9,0,10,18
24,2022-02-08,@,UConn,L,72,80,25,62,.403,9,24,.375,13,20,.650,7,22,13,11,4,6,19,,27,57,.474,6,14,.429,20,23,.870,13,43,12,5,5,14,18
25,2022-02-12,@,Butler,L,79,85,25,56,.446,10,29,.345,19,22,.864,3,27,8,4,3,8,20,,29,60,.483,13,28,.464,14,19,.737,10,32,18,2,2,10,17
26,2022-02-16,,Georgetown,W,77,66,30,65,.462,12,33,.364,5,7,.714,6,36,26,6,9,7,14,,20,69,.290,11,33,.333,15,16,.938,15,41,14,5,4,7,12
27,2022-02-20,@,Creighton,L,82,83,35,64,.547,6,16,.375,6,10,.600,8,26,8,7,3,16,19,,30,56,.536,8,21,.381,15,21,.714,8,28,16,11,3,13,8
28,2022-02-26,,Butler,W,64,56,23,56,.411,6,24,.250,12,15,.800,3,27,11,10,7,9,17,,21,55,.382,4,23,.174,10,18,.556,11,38,17,6,1,14,17
29,2022-03-02,@,DePaul,L,80,91,32,66,.485,8,26,.308,8,11,.727,7,28,12,9,4,17,17,,32,67,.478,7,22,.318,20,22,.909,9,37,16,10,2,14,15
30,2022-03-05,,St. John's (NY),W,85,77,29,62,.468,7,22,.318,20,25,.800,6,39,17,6,6,13,18,,29,70,.414,5,19,.263,14,19,.737,7,35,20,8,2,11,21
31,2022-03-10,N,Creighton,L,63,74,23,58,.397,9,28,.321,8,8,1.000,4,22,10,7,2,15,14,,28,57,.491,7,17,.412,11,14,.786,9,36,14,10,3,16,12
32,2022-03-17,N,UNC,L,63,95,26,73,.356,8,31,.258,3,8,.375,10,33,15,5,7,9,15,,34,74,.459,13,35,.371,14,17,.824,12,46,29,4,4,10,11
